"Ariana Grande","7 rings"
"Ariana Grande","Break Up with Your Girlfriend, I'm Bored"
"Ariana Grande","Thank U, Next"
"Jonas Brothers","Sucker"
"Billie Eilish","bury a friend"
"Lady Gaga","Shallow"
"Post Malone","Sunflower - Spider-Man: Into the Spider-Verse"
"Ariana Grande","Bloodline"
"Billie Eilish","Wish You Were Gay"
"Post Malone","Wow."
"Ariana Grande","Nasa"
"Tame Impala","The Less I Know the Better"
"Ariana Grande","Needy"
"Halsey","Without Me"
"Ariana Grande","Bad Idea"
"Travi$ Scott","SICKO MODE"
"Ava Max","Sweet but Psycho"
"Panic! at the Disco","High Hopes"
"Ariana Grande","No Tears Left To Cry"
"Ariana Grande","Imagine"
"Solange","Almeda"
"Queen","Bohemian Rhapsody - Remastered 2011"
"Solange","Things I Imagined"
"Arctic Monkeys","Do I Wanna Know?"
"Solange","Stay Flo"
"The Killers","Mr. Brightside"
"Sam Smith","Dancing With a Stranger (with Normani)"
"Billie Eilish","when the party's over"
"Ariana Grande","Fake Smile"
"Solange","Down with the Clique"
"Lauv","i'm so tired..."
"Queen","Don't Stop Me Now - Remastered"
"Toto","Africa"
"Solange","Dreams"
"Solange","Way to the Show"
"J. Cole","MIDDLE CHILD"
"Ariana Grande","God is a Woman"
"Khalid","Talk"
"Benny Blanco","I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)"
"Ariana Grande","Ghostin"
"Nirvana","Smells Like Teen Spirit"
"Post Malone","Better Now"
"Kendrick Lamar","HUMBLE."
"Portugal. The Man","Feel It Still"
"Tame Impala","Patience"
"Marshmello","Happier"
"Ariana Grande","In My Head"
"Ariana Grande","Make Up"
"Nirvana","Come as You Are"
"a-ha","Take on Me"
"The White Stripes","Seven Nation Army"
"Solange","Time (is)"
"Zedd","365"
"Childish Gambino","Redbone"
"Solange","Binz"
"Radiohead","Creep"
"Queen","Under Pressure - Remastered"
"Foster the People","Pumped Up Kicks"
"Solange","My Skin My Logo"
"Mark Ronson","Nothing Breaks Like a Heart (feat. Miley Cyrus)"
"21 Savage","a lot"
